outcome,kp,r,p,q
nightmare,kp_night,-0.023824546272211086,0.5258064516129032,0.7887096774193547
nightmare,kp_prev,-0.03822905136905941,0.32903225806451614,0.7887096774193547
nightmare,kp_same,0.010001653650127446,0.8,0.8661290322580645
fear,kp_night,0.032273745033890515,0.43548387096774194,0.7887096774193547
fear,kp_prev,0.008035758195103219,0.8661290322580645,0.8661290322580645
fear,kp_same,0.0649342607021405,0.13870967741935483,0.5274193548387097
neg,kp_night,-0.052039587218501396,0.17580645161290323,0.5274193548387097
neg,kp_prev,-0.0703834745076534,0.08548387096774193,0.5274193548387097
neg,kp_same,-0.02950436567778319,0.47258064516129034,0.7887096774193547
neg_sent,kp_night,0.013851192633880715,0.7225806451612903,0.8661290322580645
neg_sent,kp_prev,-0.05374001448577826,0.16612903225806452,0.5274193548387097
neg_sent,kp_same,0.008511747727002058,0.8290322580645161,0.8661290322580645
