lang,metric,signal,n_weeks,r_level,p_level,r_diff,p_diff,best_lag_w,ccf_best,q_level,q_diff
all,neg_sentiment,vix,120,0.04250379895611068,0.7583333333333333,0.03963449782460832,0.6638655462184874,0,0.13101656662442052,0.9014150943396226,0.9838709677419355
all,neg_sentiment,dff,120,0.35653174526989173,0.31666666666666665,-0.10789076111839167,0.1092436974789916,2,0.1845478860580465,0.75,0.9838709677419355
all,neg_sentiment,dollar,120,0.3173710740773814,0.55,-0.07129107630201367,0.4117647058823529,4,0.16849508819714232,0.8375000000000001,0.9838709677419355
all,neg_sentiment,yield_2s10s,120,-0.41220992566506715,0.3416666666666667,0.031048120962273485,0.6890756302521008,2,-0.22697190663070269,0.75,0.9838709677419355
all,neg_sentiment,hy_spread,120,0.15170891249166682,0.18333333333333332,0.1831660852679598,0.03361344537815126,0,0.1564407964345271,0.75,0.9838709677419355
all,neg_sentiment,sp500_ret,120,-0.11083341929439709,0.15833333333333333,-0.15437455761526422,0.15126050420168066,6,0.2286175252720954,0.7125,0.9838709677419355
all,neg_sentiment,epu,120,-0.30731791047060775,0.35833333333333334,0.013511434463484014,0.8991596638655462,-2,-0.16540922472660077,0.75,0.9838709677419355
all,nightmare_index,vix,120,0.15190121770369544,0.3333333333333333,0.055479827651550545,0.5042016806722689,4,-0.23239589185434198,0.75,0.9838709677419355
all,nightmare_index,dff,120,-0.6709186047111874,0.008333333333333333,-0.01473441002984903,0.8319327731092437,-1,-0.1956635567978528,0.08750000000000001,0.9838709677419355
all,nightmare_index,dollar,120,-0.4202886004672194,0.3333333333333333,-0.010351768417262937,0.907563025210084,-4,-0.17481932912625822,0.75,0.9838709677419355
all,nightmare_index,yield_2s10s,120,0.6620709788684356,0.008333333333333333,-0.050305657332149444,0.4957983193277311,-5,0.23044667058386048,0.08750000000000001,0.9838709677419355
all,nightmare_index,hy_spread,120,-0.21715912677331073,0.14166666666666666,0.13230047944560538,0.10084033613445378,4,-0.2035035997258797,0.6865384615384614,0.9838709677419355
all,nightmare_index,sp500_ret,120,0.008305438301688063,0.9583333333333334,-0.0862273093147129,0.4117647058823529,3,0.19899546028262774,0.9666666666666667,0.9838709677419355
all,nightmare_index,epu,120,0.46987231999584206,0.09166666666666666,0.08033645396628879,0.5294117647058824,3,-0.1084628535019924,0.5249999999999999,0.9838709677419355
all,negativity,vix,120,0.12560810366553868,0.25833333333333336,0.0185929098050475,0.8571428571428571,6,-0.22544000010500298,0.75,0.9838709677419355
all,negativity,dff,120,-0.15563545173827184,0.30833333333333335,-0.029417019259463995,0.6638655462184874,-4,-0.07778940037547916,0.75,0.9838709677419355
all,negativity,dollar,120,0.025343238683563328,0.9333333333333333,-0.012311462462038814,0.8991596638655462,-6,-0.10247661095715563,0.9666666666666667,0.9838709677419355
all,negativity,yield_2s10s,120,0.059899809382391256,0.75,-0.011580010363820331,0.8739495798319328,6,-0.1374864771510145,0.9014150943396226,0.9838709677419355
all,negativity,hy_spread,120,0.009342062495760502,0.9583333333333334,0.11300602371429404,0.19327731092436976,6,-0.21749308805302597,0.9666666666666667,0.9838709677419355
