lang,outcome,joint_p,fri_minus_mon,peak_day,trough_day,range,q05
en,neg_sentiment,0.028631986204853545,-0.02475199853629991,Thu,Fri,0.02548707313907489,0.12407194022103203
en,nightmare_index,0.28497445309320574,-0.012303740422920472,Mon,Tue,0.016742852430554102,0.4815324268916247
en,negativity,0.5659717328277922,-0.0063651881231928005,Mon,Tue,0.010465368074914352,0.73576325267613
en,fear,0.2963276473179229,-0.0088764878752889,Mon,Thu,0.012346456302128307,0.4815324268916247
en,anger,0.2508641930528539,-0.007779186406809378,Sun,Wed,0.010449202069492174,0.4815324268916247
en,sadness,0.6413626258483589,0.001798777651648739,Sun,Tue,0.00864141588213344,0.7579740123662423
en,joy,0.1661365172783578,0.005010984840268257,Tue,Thu,0.009466598943717144,0.43195494492373027
en,trust,0.4593415656969386,-0.001720969073495544,Tue,Thu,0.009054437166298399,0.6634933726733557
en,anticipation,0.010283527236969294,-0.0012917546442597506,Tue,Thu,0.014135301385301462,0.1233024797582503
en,danger,0.14346703751551626,-0.014800556524316485,Mon,Fri,0.014800556524316485,0.43195494492373027
en,social,0.752631905565748,-0.0015986737227614862,Sat,Fri,0.007464619657722578,0.8153512310295604
en,family,0.9494851074988572,-0.002384994555597787,Sat,Fri,0.008941854370649881,0.9494851074988572
en,flying,0.018969612270500046,-0.003916074643545761,Sun,Fri,0.015483529725450453,0.1233024797582503
ru,neg_sentiment,0.8871200797192074,-0.008793630303852744,Mon,Sat,0.02000164793567826,0.8871200797192074
ru,nightmare_index,0.1440753255097643,0.000566014624454133,Wed,Thu,0.005281957994369908,0.5657597116977492
ru,negativity,0.22977312248561152,0.000566306486644171,Fri,Thu,0.0036038894916728607,0.5657597116977492
ru,fear,0.10953221698235988,0.0033037080551203595,Sat,Thu,0.00871965013312451,0.5657597116977492
ru,anger,0.2611198669374227,0.000969053856248733,Sat,Thu,0.00905553383798029,0.5657597116977492
ru,sadness,0.8643352513448596,0.0009348963069171773,Sat,Thu,0.004222274338054597,0.8871200797192074
ru,joy,0.5334961685306663,0.0014983705528223716,Sat,Mon,0.002455173133881198,0.7368433025863814
ru,trust,0.5668025404510626,0.0004411160342567493,Sat,Thu,0.006990377096343779,0.7368433025863814
ru,anticipation,0.1789424717432912,0.003344882147284456,Sat,Thu,0.0095735462197543,0.5657597116977492
ru,danger,0.17653358374951764,0.0019545511697919896,Sat,Thu,0.0041856130361173725,0.5657597116977492
ru,social,0.8530840065549015,0.002719589736743374,Sun,Thu,0.004464939198463391,0.8871200797192074
ru,family,0.33446351703582633,0.0021309925992952106,Sun,Thu,0.00844810987061792,0.6211465316379632
ru,flying,0.5254496969920992,-0.0005025228217862821,Sat,Sun,0.004020642017397176,0.7368433025863814
