freq,signal,outcome,lag,n,r,p,ci_lo,ci_hi,p_floor,q
W,conflict_coverage,threat,1,27,0.372812321554228,0.07407407407407407,-0.008397686903144398,0.6594098703886375,0.037037037037037035,0.4609929078014185
W,conflict_cum,threat,1,27,0.3841438512509505,0.1111111111111111,0.0048284668396969726,0.6668200814454271,0.037037037037037035,0.4609929078014185
W,conflict_coverage,threat,0,28,0.29655085793964,0.17857142857142858,-0.08605301515934198,0.6029272485528837,0.03571428571428571,0.4609929078014185
W,conflict_cum,threat,0,28,0.32954118419728257,0.17857142857142858,-0.04964569756033888,0.6256971867035106,0.03571428571428571,0.4609929078014185
D,conflict_negtone,threat,2,187,0.09173263527049959,0.20320855614973263,-0.052453682122636604,0.23217234820214405,0.0053475935828877,0.4609929078014185
D,conflict_coverage,threat,1,188,0.09471747986070671,0.24468085106382978,-0.04906038361108648,0.23464957339774026,0.005319148936170213,0.4609929078014185
D,conflict_negtone,threat,3,186,0.08631028424004653,0.25268817204301075,-0.058295628089030396,0.2273686762359672,0.005376344086021506,0.4609929078014185
D,conflict_coverage,threat,2,187,0.09260830688232004,0.25668449197860965,-0.05157289691741882,0.23300774463345694,0.0053475935828877,0.4609929078014185
D,conflict_negtone,threat,1,188,-0.08009610493391511,0.2765957446808511,-0.22067934191228117,0.06374745403742063,0.005319148936170213,0.4609929078014185
W,conflict_negtone,threat,0,28,-0.22140845817668867,0.32142857142857145,-0.5491312787159988,0.16533169025740904,0.03571428571428571,0.47147001934235977
D,conflict_cum,threat,1,188,0.0855808268929555,0.34574468085106386,-0.058245381818171765,0.22592657847065567,0.005319148936170213,0.47147001934235977
D,conflict_cum,threat,2,187,0.07444249873543025,0.4385026737967914,-0.06979896336208245,0.21563490202156552,0.0053475935828877,0.5481283422459893
D,conflict_cum,threat,3,186,0.012048391370405876,0.8387096774193549,-0.13206251355209248,0.1556605151106443,0.005376344086021506,0.9629629629629629
D,conflict_coverage,threat,3,186,0.007681728663873402,0.9247311827956989,-0.13635094333046768,0.15139636442394103,0.005376344086021506,0.9629629629629629
W,conflict_negtone,threat,1,27,-0.0037539430969868856,0.9629629629629629,-0.38322749635944553,0.3768038514415964,0.037037037037037035,0.9629629629629629
