signal,outcome,lag,n,r,p,family,q_fdr
conflict_coverage,danger,0,189,-0.016244775773500184,0.8412698412698413,threat,1.0
conflict_coverage,danger,1,188,0.02424050153959538,0.7446808510638298,threat,1.0
conflict_coverage,danger,2,187,0.08794296574644217,0.3315508021390374,threat,1.0
conflict_coverage,danger,3,186,0.09002777148707429,0.3010752688172043,threat,1.0
conflict_coverage,weapon,0,189,0.005870803887209818,0.9312169312169312,threat,1.0
conflict_coverage,weapon,1,188,0.1521526600877697,0.09042553191489362,threat,1.0
conflict_coverage,weapon,2,187,0.04509671369686641,0.5133689839572193,threat,1.0
conflict_coverage,weapon,3,186,-0.010589449266453482,0.8924731182795699,threat,1.0
conflict_coverage,fear,0,189,0.043752532984283506,0.6402116402116402,threat,1.0
conflict_coverage,fear,1,188,0.11963973672512289,0.17553191489361702,threat,1.0
conflict_coverage,fear,2,187,0.16056335764191584,0.0748663101604278,threat,1.0
conflict_coverage,fear,3,186,0.03487636749017974,0.7150537634408602,threat,1.0
conflict_coverage,nightmare_index,0,189,0.031165848475525934,0.6984126984126984,threat,1.0
conflict_coverage,nightmare_index,1,188,0.05256175925156768,0.5425531914893617,threat,1.0
conflict_coverage,nightmare_index,2,187,0.06466603717936686,0.41711229946524064,threat,1.0
conflict_coverage,nightmare_index,3,186,-0.004724365784134221,0.956989247311828,threat,1.0
conflict_coverage,food,0,189,-0.02925168966099972,0.708994708994709,control,
conflict_coverage,food,1,188,-0.09159182963195056,0.20212765957446807,control,
conflict_coverage,food,2,187,-0.055429184719893276,0.45454545454545453,control,
conflict_coverage,food,3,186,-0.014426989242190658,0.8655913978494624,control,
conflict_coverage,animal,0,189,-0.05697630506842311,0.47619047619047616,control,
conflict_coverage,animal,1,188,-0.18727375742580998,0.015957446808510637,control,
conflict_coverage,animal,2,187,-0.12724030313242018,0.11764705882352941,control,
conflict_coverage,animal,3,186,0.021068358100139174,0.7634408602150538,control,
conflict_negtone,danger,0,189,-0.059521770962064055,0.4021164021164021,threat,1.0
conflict_negtone,danger,1,188,-0.05938343224256321,0.43617021276595747,threat,1.0
conflict_negtone,danger,2,187,0.07013251518761367,0.35294117647058826,threat,1.0
conflict_negtone,danger,3,186,0.021567276380947954,0.7795698924731183,threat,1.0
conflict_negtone,weapon,0,189,0.009157515025938333,0.8835978835978836,threat,1.0
conflict_negtone,weapon,1,188,-0.08623011293319746,0.2127659574468085,threat,1.0
conflict_negtone,weapon,2,187,0.09848042627194743,0.16042780748663102,threat,1.0
conflict_negtone,weapon,3,186,0.14375091992233083,0.053763440860215055,threat,1.0
conflict_negtone,fear,0,189,0.029037231821310377,0.6931216931216931,threat,1.0
conflict_negtone,fear,1,188,-0.0031712426841442334,0.9468085106382979,threat,1.0
conflict_negtone,fear,2,187,0.09872509407187564,0.19786096256684493,threat,1.0
conflict_negtone,fear,3,186,0.07403601890943463,0.2956989247311828,threat,1.0
conflict_negtone,nightmare_index,0,189,-0.04304581065823324,0.582010582010582,threat,1.0
conflict_negtone,nightmare_index,1,188,-0.06947577975566942,0.3670212765957447,threat,1.0
conflict_negtone,nightmare_index,2,187,0.10045903559499789,0.19786096256684493,threat,1.0
conflict_negtone,nightmare_index,3,186,0.07797503247234439,0.27956989247311825,threat,1.0
conflict_negtone,food,0,189,0.03500600748054347,0.6402116402116402,control,
conflict_negtone,food,1,188,0.1068009857199454,0.1595744680851064,control,
conflict_negtone,food,2,187,-0.01577420656413815,0.839572192513369,control,
conflict_negtone,food,3,186,0.08485911758255066,0.2849462365591398,control,
conflict_negtone,animal,0,189,0.04447067991879012,0.47619047619047616,control,
conflict_negtone,animal,1,188,0.07240388002392303,0.30851063829787234,control,
conflict_negtone,animal,2,187,0.01580535870075308,0.8021390374331551,control,
conflict_negtone,animal,3,186,0.07937651426741166,0.27956989247311825,control,
overall_negtone,danger,0,188,-0.015174888434340254,0.8617021276595744,threat,1.0
overall_negtone,danger,1,188,0.01083443429728337,0.8936170212765957,threat,1.0
