cohort,predictor,outcome,n_days,beta_std,ci_lo,ci_hi,partial_r,p_hac,p_circ,placebo_p,n_event_days,q_fdr
all,moon_illumination,neg_sentiment,620,0.015149669205458429,-0.052985490115843206,0.08328482852676007,0.016895434938607373,0.6629813197909229,0.603225806451613,,,0.793168880455408
all,moon_illumination,nightmare_index,620,-0.00739178129262149,-0.0759167144593336,0.06113315187409062,-0.008767919304576094,0.832555566893278,0.8048387096774193,,,0.8471986417657046
all,moon_illumination,fear,620,0.01434743548168059,-0.07105503268343642,0.0997499036467976,0.01684104722833301,0.7419471674400476,0.6516129032258065,,,0.793168880455408
all,moon_illumination,negativity,620,-0.012284528242784053,-0.08406074209542277,0.059491685609854676,-0.013495597362156248,0.73728203682991,0.6403225806451613,,,0.793168880455408
all,full_moon,neg_sentiment,620,-0.03200495398327881,-0.11019456549078958,0.04618465752423197,-0.03561839329484287,0.42239287062891684,0.30806451612903224,0.355,91.0,0.6161290322580645
all,full_moon,nightmare_index,620,-0.08260443193575809,-0.15180501407295316,-0.01340384979856303,-0.0977764037403294,0.019302158969939177,0.0064516129032258064,0.0155,91.0,0.08064516129032258
all,full_moon,fear,620,-0.04588709995162542,-0.11404962458738531,0.022275424684134473,-0.0537506990813822,0.18701051598681329,0.1629032258064516,0.1615,91.0,0.46543778801843316
all,full_moon,negativity,620,-0.07570835560597322,-0.14713295120425224,-0.004283760007694204,-0.08299998939795848,0.037750556484163714,0.008064516129032258,0.0305,91.0,0.08064516129032258
all,new_moon,neg_sentiment,620,-0.03514136336404451,-0.09960151268901413,0.029318785960925103,-0.03959359985098494,0.2852852202610454,0.21935483870967742,,,0.5483870967741935
all,new_moon,nightmare_index,620,-0.04746446166768316,-0.10021756834433156,0.00528864500896524,-0.05687876790154691,0.07781542667353528,0.12096774193548387,,,0.46543778801843316
all,new_moon,fear,620,-0.03263402362321363,-0.09486362797322143,0.02959558072679417,-0.038700386983862384,0.3040204870477641,0.267741935483871,,,0.5949820788530467
all,new_moon,negativity,620,-0.05758972897184299,-0.12224807047229735,0.007068612528611379,-0.0639190619165202,0.08085824984547098,0.05967741935483871,,,0.39784946236559143
all,kp_max,neg_sentiment,620,-0.015227708825529263,-0.08770965823380689,0.05725424058274836,-0.01705131771692172,0.6805037950180174,0.6661290322580645,,,0.793168880455408
all,kp_max,nightmare_index,620,0.01045983264553077,-0.04365162861693452,0.06457129390799607,0.01245767936980539,0.70478354295702,0.7483870967741936,,,0.8315412186379929
