motif,era,real_deaths,prev_dreamseer,ci_lo,ci_hi,prev_dreambank
falling,ancestral,680000,0.021242586127119,0.019391746939805662,0.02317755436840113,0.020777797154886767
being chased,ancestral,500,0.030160265847810543,0.028014974971606443,0.032263492197030244,0.026208923989137746
attacked,ancestral,400000,0.019854456736633996,0.018003617549320658,0.021664283010137543,0.014524527267744588
snake,ancestral,100000,0.016952004374710807,0.015353552349303832,0.018718714508055356,0.008495478213209099
wild animal,ancestral,3000,0.017456778698523537,0.01585832667311656,0.01918142430488369,0.019083684197413988
monster/demon,ancestral,0,0.025028393555714467,0.023009296260463552,0.027047490850965382,0.0203044420638282
spider/insect,ancestral,100,0.008749421612753964,0.007655743911159719,0.009927228368316998,0.010438725429133761
drowning/flood,ancestral,236000,0.00942245404450427,0.008244647288941236,0.010726454381020486,0.010214504596527068
trapped/frozen,ancestral,100,0.01968619862869642,0.017877423968367476,0.021579102342994153,0.022446996686514363
teeth falling,ancestral,0,0.0010095486476254575,0.0006309679047659109,0.0014301939174693982,0.0002740476842970677
intruder,ancestral,5000,0.0015984520254069743,0.0010936777015942455,0.002103226349219703,0.001793766660853534
fire/burning,mixed,180000,0.01669961721280444,0.015059100660413074,0.018382198292180206,0.027604075836468272
car crash,modern,1300000,0.002565936146048038,0.0019349682412821267,0.0031969040508139485,0.0020179874934602255
gun/shooting,modern,250000,0.014764648971522316,0.013334455054052917,0.016236907415976106,0.02553626149131767
plane crash,modern,300,0.0024818070920792495,0.0018508391873133386,0.003113826610019765,0.006502404145594061
bomb/explosion,modern,120000,0.005216001346064864,0.004290581752408194,0.006183485466705927,0.007474027753556391
disease/illness,modern,40000000,0.00403819459050183,0.0032810331047827368,0.004921549657174105,0.005206906001644286
nuclear/apoc.,modern,100,0.0031127749968451607,0.0024397425650948554,0.0038699364825642533,0.002516256010363985
