lag_weeks,r,perm_p,n,q_fdr,outcome,signal
-8,0.13986138341756416,0.28735632183908044,147,0.6881559220389806,negativity_mean,vix
-7,0.08333721470736492,0.4817591204397801,148,0.6881559220389806,negativity_mean,vix
-6,0.018559378092099958,0.8650674662668666,149,0.9804097951024489,negativity_mean,vix
-5,-0.004217381794194019,0.9720139930034982,150,0.9940029985007496,negativity_mean,vix
-4,-0.0015176217831537337,0.9940029985007496,151,0.9940029985007496,negativity_mean,vix
-3,0.04859813025042149,0.7061469265367316,152,0.857464125080317,negativity_mean,vix
-2,0.07489855029874526,0.5262368815592204,153,0.6881559220389806,negativity_mean,vix
-1,0.0836877342164869,0.4897551224387806,154,0.6881559220389806,negativity_mean,vix
0,0.11112652077033355,0.3728135932033983,155,0.6881559220389806,negativity_mean,vix
1,0.09419092448411918,0.44577711144427784,154,0.6881559220389806,negativity_mean,vix
2,0.13180440397784635,0.26286856571714146,153,0.6881559220389806,negativity_mean,vix
3,0.17232062234894843,0.1714142928535732,152,0.6881559220389806,negativity_mean,vix
4,0.18699891720390036,0.15292353823088456,151,0.6881559220389806,negativity_mean,vix
5,0.17870220982922774,0.17791104447776113,150,0.6881559220389806,negativity_mean,vix
6,0.11831691531686862,0.3423288355822089,149,0.6881559220389806,negativity_mean,vix
7,0.10543458311281961,0.33933033483258374,148,0.6881559220389806,negativity_mean,vix
8,0.1527607258600336,0.21989005497251374,147,0.6881559220389806,negativity_mean,vix
-8,-0.36487334196860854,0.1619190404797601,20,0.3939905047476262,negativity_mean,news_tone
-7,-0.32565035906065315,0.051974012993503245,21,0.29451940696318507,negativity_mean,news_tone
-6,0.03909534315262079,0.8030984507746127,22,0.853292103948026,negativity_mean,news_tone
-5,-0.2791237352232991,0.16991504247876063,23,0.3939905047476262,negativity_mean,news_tone
-4,-0.1830035489709059,0.3828085957021489,24,0.5916132842669574,negativity_mean,news_tone
-3,0.0944275869374863,0.750624687656172,25,0.8507079793436616,negativity_mean,news_tone
-2,0.36074642869063756,0.0004997501249375312,26,0.00849575212393803,negativity_mean,news_tone
-1,0.2843903213284886,0.035982008995502246,27,0.29451940696318507,negativity_mean,news_tone
0,0.1613837654664537,0.35932033983008493,28,0.5916132842669574,negativity_mean,news_tone
1,0.2177245324012668,0.10794602698650675,27,0.3939905047476262,negativity_mean,news_tone
2,-0.12220137483061135,0.49525237381309345,26,0.7016075295685491,negativity_mean,news_tone
3,0.26275278379812067,0.24387806096951525,25,0.46065855960908436,negativity_mean,news_tone
4,0.3245889669123311,0.18290854572713644,24,0.3939905047476262,negativity_mean,news_tone
5,0.2786041425497117,0.1854072963518241,23,0.3939905047476262,negativity_mean,news_tone
6,0.04449435884241331,0.9505247376311844,22,0.9505247376311845,negativity_mean,news_tone
7,0.15172059309309022,0.7206396801599201,21,0.8507079793436616,negativity_mean,news_tone
8,0.17028603056373565,0.6416791604197901,20,0.8391189020874178,negativity_mean,news_tone
-8,0.21914601556896923,0.09845077461269365,147,0.26655422288855574,fear_mean,vix
-7,0.1823683187674241,0.11344327836081959,148,0.26655422288855574,fear_mean,vix
-6,0.13915525718091226,0.263368315842079,149,0.4477261369315343,fear_mean,vix
-5,0.0938751823402964,0.47226386806596704,150,0.6175758274708799,fear_mean,vix
-4,0.0491838768280431,0.7326336831584208,151,0.7326336831584208,fear_mean,vix
-3,0.05529405758462743,0.7066466766616691,152,0.7326336831584208,fear_mean,vix
-2,0.09612565586235135,0.4387806096951524,153,0.6175758274708799,fear_mean,vix
-1,0.07507471657866058,0.5802098950524738,154,0.6575712143928035,fear_mean,vix
0,0.08760961862235475,0.5392303848075962,155,0.6547797529806525,fear_mean,vix
1,0.10805011323139337,0.42128935532233885,154,0.6175758274708799,fear_mean,vix
2,0.16197587316518525,0.2353823088455772,153,0.4446110278194236,fear_mean,vix
3,0.21761566940447893,0.1199400299850075,152,0.26655422288855574,fear_mean,vix
4,0.28388439371890417,0.07396301849075462,151,0.26655422288855574,fear_mean,vix
5,0.28260116054125156,0.10044977511244378,150,0.26655422288855574,fear_mean,vix
6,0.25596006005478406,0.12543728135932034,149,0.26655422288855574,fear_mean,vix
7,0.2661817140043381,0.10494752623688156,148,0.26655422288855574,fear_mean,vix
8,0.26266966966115246,0.10994502748625687,147,0.26655422288855574,fear_mean,vix
-8,-0.4740721595487847,0.0004997501249375312,20,0.004247876061969015,fear_mean,news_tone
-7,-0.2971109096632116,0.23788105947026486,21,0.6456771614192903,fear_mean,news_tone
-6,-0.02147208245446114,1.0,22,1.0,fear_mean,news_tone
-5,0.018481895147410776,0.8285857071464268,23,0.939063801432617,fear_mean,news_tone
-4,0.12553279534119627,0.552223888055972,24,0.833890746934225,fear_mean,news_tone
-3,0.3141291957094824,0.22038980509745126,25,0.6456771614192903,fear_mean,news_tone
-2,0.39772207534364895,0.0004997501249375312,26,0.004247876061969015,fear_mean,news_tone
-1,0.2834329585978071,0.2658670664667666,27,0.6456771614192903,fear_mean,news_tone
0,0.3090062693704183,0.2383808095952024,28,0.6456771614192903,fear_mean,news_tone
1,0.3668381407789743,0.043478260869565216,27,0.24637681159420288,fear_mean,news_tone
2,-0.0031105582478302917,0.9590204897551224,26,1.0,fear_mean,news_tone
3,0.18242350878162134,0.6376811594202898,25,0.833890746934225,fear_mean,news_tone
4,0.20312134672624896,0.5292353823088456,24,0.833890746934225,fear_mean,news_tone
5,0.3057955599700318,0.31784107946026985,23,0.6754122938530734,fear_mean,news_tone
6,0.23871549717064355,0.4352823588205897,22,0.8222000111055583,fear_mean,news_tone
7,0.16652476868651006,0.5897051474262869,21,0.833890746934225,fear_mean,news_tone
8,0.06149883856956497,0.7986006996501749,20,0.939063801432617,fear_mean,news_tone
-8,0.1643089579724153,0.17791104447776113,147,0.6235882058970514,nightmare_index_mean,vix
-7,0.10647110570238152,0.34382808595702147,148,0.6235882058970514,nightmare_index_mean,vix
-6,0.039863161928653995,0.6981509245377311,149,0.8477546940815307,nightmare_index_mean,vix
-5,-0.0021702123697783034,0.9800099950024987,150,0.9880059970014993,nightmare_index_mean,vix
-4,0.002227156738446579,0.9880059970014993,151,0.9880059970014993,nightmare_index_mean,vix
-3,0.03320105079221649,0.7881059470264867,152,0.8931867399633516,nightmare_index_mean,vix
-2,0.054727509548533254,0.5877061469265368,153,0.7685388075193174,nightmare_index_mean,vix
-1,0.08112763457504689,0.4832583708145927,154,0.6846160253206731,nightmare_index_mean,vix
0,0.10424779607365778,0.36681659170414793,155,0.6235882058970514,nightmare_index_mean,vix
1,0.09479720092574359,0.4337831084457771,154,0.6703920766889282,nightmare_index_mean,vix
2,0.13133426442815643,0.24237881059470265,153,0.6235882058970514,nightmare_index_mean,vix
3,0.17585783494687912,0.16391804097951024,152,0.6235882058970514,nightmare_index_mean,vix
4,0.20316478005354188,0.13943028485757122,151,0.6235882058970514,nightmare_index_mean,vix
5,0.18610918893225975,0.15292353823088456,150,0.6235882058970514,nightmare_index_mean,vix
6,0.12889770221270386,0.3148425787106447,149,0.6235882058970514,nightmare_index_mean,vix
7,0.11457328673071539,0.31634182908545727,148,0.6235882058970514,nightmare_index_mean,vix
8,0.1701497604531255,0.19790104947526238,147,0.6235882058970514,nightmare_index_mean,vix
-8,-0.5160176185283171,0.0004997501249375312,20,0.004247876061969015,nightmare_index_mean,news_tone
-7,-0.22664571774656878,0.2773613193403298,21,0.5456160808484647,nightmare_index_mean,news_tone
-6,0.09097365045965287,0.6516741629185407,22,0.9232050641345994,nightmare_index_mean,news_tone
-5,-0.1996074980435638,0.4407796101949025,23,0.6812048521193949,nightmare_index_mean,news_tone
-4,-0.010681241558402922,1.0,24,1.0,nightmare_index_mean,news_tone
-3,0.2627963582465332,0.25987006496751625,25,0.5456160808484647,nightmare_index_mean,news_tone
-2,0.42235465009588297,0.0004997501249375312,26,0.004247876061969015,nightmare_index_mean,news_tone
-1,0.32191518336858654,0.035982008995502246,27,0.1614192903548226,nightmare_index_mean,news_tone
0,0.1959860177121101,0.2888555722138931,28,0.5456160808484647,nightmare_index_mean,news_tone
1,0.2978690713540869,0.03798100949525238,27,0.1614192903548226,nightmare_index_mean,news_tone
2,0.007093848950870222,0.9635182408795602,26,1.0,nightmare_index_mean,news_tone
3,0.31097161631959175,0.25337331334332835,25,0.5456160808484647,nightmare_index_mean,news_tone
4,0.3078234425774686,0.27386306846576713,24,0.5456160808484647,nightmare_index_mean,news_tone
5,0.24965174822478284,0.41579210394802596,23,0.6812048521193949,nightmare_index_mean,news_tone
6,0.07984772999731299,0.8495752123938031,22,1.0,nightmare_index_mean,news_tone
7,0.08114723386456969,0.9110444777611194,21,1.0,nightmare_index_mean,news_tone
8,0.10814582294461883,0.8525737131434283,20,1.0,nightmare_index_mean,news_tone
