lang,week,fear_mean,anger_mean,sadness_mean,disgust_mean,joy_mean,trust_mean,anticipation_mean,surprise_mean,danger_mean,weapon_mean,family_mean,flying_mean,animal_mean,health_mean,swimming_mean,place_house_mean,place_nature_mean,indoors_mean,outdoors_mean,romantic_mean,social_mean,friend_mean,stranger_mean,situation_childhood_mean,game_mean,music_mean,food_mean,object_inanimate_mean,object_animate_mean,negativity_mean,nightmare_index_mean,textlen_mean,words_mean,n_dreams,n_userdays
all,2023-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
all,2023-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
all,2023-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0
all,2023-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
all,2023-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
all,2023-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
all,2023-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
all,2023-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
all,2023-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
all,2023-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
all,2023-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0
all,2023-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,8.0
all,2023-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,15.0
all,2023-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,14.0
all,2023-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,12.0
all,2023-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,10.0
all,2023-11-06,0.2832916666666666,0.1207083333333333,0.1721249999999999,0.0998333333333333,0.17025,0.3404166666666666,0.295875,0.6265416666666667,0.6109166666666667,0.18675,0.3724166666666666,0.1569583333333333,0.1911249999999999,0.2444583333333333,0.0209583333333333,0.3740416666666666,0.2722916666666666,0.3175833333333333,0.4948749999999999,0.3177083333333333,0.6592916666666667,0.4489583333333333,0.5007083333333333,0.2669999999999999,0.1277916666666666,0.0302916666666666,0.0275,0.1095,0.4282499999999999,-0.0863437499999999,0.1851944444444444,487.875,92.5,24.0,21.0
all,2023-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,15.0
